url_length,hostname_length,num_dots,num_hyphens,num_subdomains,has_ip,has_at_symbol,has_double_slash,is_https,num_digits_domain,suspicious_words,domain_length,label
39,30,2,1,1,0,0,0,1,5,0,7,1
13,0,1,1,0,0,0,0,0,0,0,9,0
33,24,2,0,1,0,0,0,1,0,0,6,1
50,41,2,0,1,0,0,0,1,0,0,7,1
31,22,2,0,1,0,0,0,1,0,0,6,1
62,43,3,1,1,0,0,0,1,1,0,2,1
17,0,1,0,0,0,0,0,0,0,0,13,0
8,0,1,0,0,0,0,0,0,0,0,4,0
22,6,1,0,0,0,0,0,1,0,0,3,1
41,26,2,0,1,0,0,0,1,0,0,9,1
33,26,2,0,1,0,0,0,0,0,0,6,1
40,31,2,0,1,0,0,0,1,0,0,7,1
40,31,2,0,1,0,0,0,1,0,0,4,1
37,16,2,0,1,0,0,0,1,0,0,6,1
44,29,2,2,1,0,0,0,1,0,0,9,1
30,17,2,0,1,0,0,0,1,3,0,9,1
23,8,2,0,1,0,0,0,1,0,0,3,1
27,18,2,0,1,0,0,0,1,0,0,7,1
37,28,2,1,1,0,0,0,1,0,0,10,1
22,7,1,0,0,0,0,0,1,0,0,4,1
11,0,1,0,0,0,0,0,0,0,0,7,0
16,0,1,0,0,0,0,0,0,0,0,12,0
35,26,2,1,1,0,0,0,1,0,0,10,1
22,7,1,0,0,0,0,0,1,0,0,4,1
13,0,1,0,0,0,0,0,0,0,0,9,0
163,14,5,0,1,0,0,0,1,0,0,6,1
23,8,2,0,1,0,0,0,1,0,0,3,1
22,7,1,0,0,0,0,0,1,0,0,4,1
44,35,2,1,1,0,0,0,1,0,0,11,1
21,6,1,1,0,0,0,0,1,0,0,3,1
12,0,1,0,0,0,0,0,0,0,0,8,0
14,0,1,1,0,0,0,0,0,0,0,10,0
27,12,1,0,0,0,0,0,1,0,0,7,1
23,8,2,0,1,0,0,0,1,0,0,3,1
22,7,1,0,0,0,0,0,1,0,0,4,1
69,18,2,5,1,0,0,0,1,0,0,10,1
